filename, bike, bus, car, hydrant, light, motor, person, sign, truck
video-JFiGa9oAAN2queuLt-frame-002677-AsyQr46D5fRX2Hi3L_jpg.rf.821443279f148c437cb9bc131614dfc9.jpg,1,1,1,1,0,0,1,1,0
video-nodg7n2aFzCWFJBnv-frame-000845-NicaHR3Kj8A4y5WB3_jpg.rf.8216807e8e09f8127defb349529d12c7.jpg,1,0,1,0,1,0,1,0,0
video-aTxg8EcSRQyDvisMX-frame-002366-6SzPP5hPYx73Dp8WL_jpg.rf.821b355ae9521db59d851382ec252c1a.jpg,1,0,1,0,1,0,1,1,0
video-DJYDQTZH7GLCqw3Tx-frame-003067-ShpbD5DB5S5Rhh2GZ_jpg.rf.82206f82ee87172a888d0b3a7b8f39d5.jpg,1,0,1,0,0,0,1,0,0
video-SyzNY82LYZrhkPH7x-frame-002050-JnPADKeWh3Fg9nhmH_jpg.rf.8223c87de7cd6b02cb6311935080cceb.jpg,0,0,1,0,0,0,0,0,0
video-JFiGa9oAAN2queuLt-frame-007581-8rzhNLYwxkPT7Exik_jpg.rf.82318684ec9daf09c76c73c24b1c54a8.jpg,1,0,1,0,1,0,1,1,0
video-dgYrcYcm5G75w2GJc-frame-000633-W4JE2dqHEFF6883qe_jpg.rf.823f656913ecbad35a7a73bf7d5aaf0d.jpg,0,0,0,0,0,0,0,1,0
video-49ZHZYTfjWxQXmrQs-frame-009450-euRbHtky5QMPedp3h_jpg.rf.824cb7266c762dbe8c376964eb07a8a4.jpg,0,0,1,0,0,0,0,1,0
video-JFiGa9oAAN2queuLt-frame-000260-Rwd5baw4bXGJBWHec_jpg.rf.825459b12dddabb9f8df4b7f13bcebad.jpg,0,1,1,1,0,0,1,1,0
video-r68Yr9RPWEp5fW2ZF-frame-006916-wFYp6KPeLEqbH4YED_jpg.rf.825cadb5e44e8b5dfc86dec0dab17328.jpg,0,0,1,0,0,0,1,1,0
video-XCJD9qhzXNoZCn37i-frame-000541-nx4PB5hkAJ59iPTkq_jpg.rf.826243105f191f5ae2994e926e0432cf.jpg,0,0,1,0,0,1,1,1,0
video-DJYDQTZH7GLCqw3Tx-frame-005559-R7FyqxP2F68mipf4x_jpg.rf.8271a051d08f259e099f2c7e8b6b6f2f.jpg,1,0,1,0,0,0,1,0,0
video-sEs53HkN6oRqWdeQK-frame-002962-RZA8vYBoaRsnTkqPb_jpg.rf.82548889842809c157dfbb5fa481acc8.jpg,1,0,1,0,1,0,1,1,0
video-4E8nAe7bkHkSZfpjq-frame-009000-pjgKhxo5wDauiJmgq_jpg.rf.825bc61b3a1ef345d69aeadc442ab10e.jpg,0,0,0,0,0,0,0,1,0
video-JFiGa9oAAN2queuLt-frame-005057-gCQveFcH6FzK4KSLx_jpg.rf.8275fef9d98d065cf16b9daf513ffadb.jpg,0,1,1,1,0,0,1,0,0
video-rzDLT664bgLJ29B2f-frame-006300-w7LDfgqjoamLiu4xc_jpg.rf.826ac4dfa4c7e4400f62009214b27da1.jpg,0,0,1,0,0,0,0,0,0
video-o9b92aG9EbJnkJEwF-frame-001794-nyfHeaCeoKzJvt4iC_jpg.rf.828b92ede14827aaeb24e16ac613deac.jpg,0,1,1,0,0,1,1,0,0
video-aiXLPEvp86raemrsp-frame-002544-MieuiWrfZBwj4eADP_jpg.rf.827a5c0ea32688327ebe0227288fd596.jpg,0,1,1,0,0,0,1,0,0
video-GMDwNs5TdqejpF4vu-frame-003264-7ELnEyqk4sJjYLyWS_jpg.rf.827ba21cceae48387dea1669461e4ab3.jpg,0,0,0,0,0,0,1,1,0
video-7EPybiwBrzjDKn7TZ-frame-004306-vpSh6EH97jLsrrQMG_jpg.rf.82b086d753d5429cccd15cbce2b25998.jpg,0,0,1,0,0,0,1,1,0
video-JFiGa9oAAN2queuLt-frame-000210-3h3uGWJWcRDNoahfZ_jpg.rf.82a3f0fae4dd79dbe6af565569f01444.jpg,1,1,1,0,0,0,1,1,0
video-JFiGa9oAAN2queuLt-frame-002887-rPQvwNiR8oRCtzuB4_jpg.rf.82c3efbdcae3c2edc79faa9c2205a0d2.jpg,0,1,1,1,0,0,1,1,0
video-4KhLCjoeEmjGBaRLQ-frame-001173-3oGCAjsrynLmFYnH9_jpg.rf.82b8ae05a90605733bf47e93cf701b86.jpg,0,0,1,0,1,0,0,1,1
video-aMQG7QCtJKfnEdue5-frame-001102-Dbo3h364G4Pv5JfvF_jpg.rf.82b875203ffacde1a6ee2fb8b72055da.jpg,0,0,1,0,0,0,1,0,0
video-67ZzTP4GCNj69eNPs-frame-001692-FAQsdMp3B5tRxMXq9_jpg.rf.82e4d9ccd47eef7d5afe4f3ffbc762dc.jpg,0,1,1,0,0,0,1,1,0
video-7yaY3LisuPdNyfZH9-frame-002816-thR2AEefK8bFE7a6T_jpg.rf.828e2df2dad89a094a64589684e44511.jpg,0,0,1,0,1,0,1,1,0
video-aMQG7QCtJKfnEdue5-frame-002975-54eECBzst8nhtmnqg_jpg.rf.82c1342bcaa3ef8fb7ae8b37cdcf8b42.jpg,0,0,1,0,0,0,1,0,0
video-9BBhGg3MKeaChnLjP-frame-002250-yWqGLGjBQrnkzNcMi_jpg.rf.82e3cca30ec2d494be2fac3e8b2fed46.jpg,0,0,1,0,0,0,0,1,0
video-5YuhMWusfM3ZMtvDx-frame-008534-iZD56htmBropdbQFB_jpg.rf.82f062a0970c5f10933d38e8cde99afd.jpg,1,1,1,0,0,0,1,0,0
video-r68Yr9RPWEp5fW2ZF-frame-013668-2835M7kinHYtcToqX_jpg.rf.82ffd655ac61587b332d980d7d33111a.jpg,0,0,1,0,1,0,1,1,0
video-kZvY7NeD8kA7PiMWX-frame-001939-2jYfWBjpGRdyEfsNa_jpg.rf.82f9db876069bc42c2c5fee30fd37ea3.jpg,1,0,1,0,1,1,1,1,0
video-4zQqsnWRwK7SFPpBy-frame-005292-3exHteiEpQbM5axtf_jpg.rf.82b3fa3ef9d431d63e8748a2e4f1e4de.jpg,0,0,1,0,0,1,1,1,1
video-86XuF6pPvWfBCqyNt-frame-006145-nGbAh4q7b8eFhoLPs_jpg.rf.82f0e5ac49f77f27bdfe42d7206de658.jpg,1,0,1,0,1,0,1,1,1
video-S5osy2ei487eAM2fw-frame-004025-CQAjzFYPH7a28RetD_jpg.rf.82ff0515fd027d1c297091edead145bf.jpg,0,1,1,0,1,1,1,1,0
video-AEZAaF8epmvQv5Nfj-frame-015251-KAtb5KQHfBbNQL7xB_jpg.rf.82fbd553586bdaba53fbc281d3f6e974.jpg,1,0,1,0,0,0,1,0,0
video-49ZHZYTfjWxQXmrQs-frame-005700-Mku3NhJv2fSsiCqpj_jpg.rf.83275c303c66bbe1c774e8d9ccccaf25.jpg,0,0,1,0,0,0,0,0,0
video-BvDJ7TewksQCjCtyN-frame-006875-jDoTg4Wnpoj6Afg9r_jpg.rf.8301b58a4a609fc51a2873634434e69e.jpg,0,0,1,1,1,0,0,1,0
video-GXXqNLCqyu72TLx5i-frame-002571-iXGm6jDDTPabPywnw_jpg.rf.83342034b354cb9e19f6aace71d61d9a.jpg,0,0,1,0,1,0,1,0,0
video-AEZAaF8epmvQv5Nfj-frame-010936-DhpSfeReresBY5ctB_jpg.rf.839c04b5e63e7a5d35e57a8a9afe3548.jpg,0,0,1,0,0,0,1,1,0
video-MoCHppHsM4bnncPmS-frame-003109-9SrpRbRQErg4LKv7H_jpg.rf.8390bba0f84bede07503470cdba43309.jpg,0,0,1,0,0,0,0,1,0
video-gwN2KCXHzE6CQJ85P-frame-005100-uuKjdjFxPgHhLJupM_jpg.rf.83bf0db8725870f0d409f185f8045bd5.jpg,0,0,1,0,0,0,0,1,0
