path_img,bbox,class_id
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/210323_jpg.rf.51c95d4aabd7d56df77e87dd42b0f722.jpg,"[[506.5, 621.5, 155, 293], [1021.0, 851.0, 92, 294], [1136.5, 852.5, 123, 273]]","[1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/230182_jpg.rf.3f75209f0785c400408c560945f3f57a.jpg,"[[975.5, 296.5, 141, 287]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/100673_jpg.rf.efc2ac8dee149ebe1245c64b97aa8fd3.jpg,"[[565.5, 816.5, 119, 245]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/120101_jpg.rf.ed604cd25ac4bc229363851520dc8f1d.jpg,"[[958.5, 686.0, 83, 200], [1142.0, 641.5, 52, 205], [1212.0, 652.0, 54, 166], [1229.0, 515.5, 70, 159]]","[1, 1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/091014_jpg.rf.873654cd6a8a724764268efc724e5905.jpg,"[[1260.0, 354.0, 40, 234]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/230290_jpg.rf.b16b84f76f71d9d2f074b28faaa7c674.jpg,"[[643.0, 923.5, 122, 201], [1153.5, 844.0, 173, 310]]","[1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/040383_jpg.rf.e717d9997019f0bbfb7f1feef91aca4a.jpg,"[[26.5, 770.0, 47, 238], [167.0, 647.5, 92, 233], [242.5, 638.5, 107, 265], [1029.5, 339.5, 113, 225]]","[1, 1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/240032_jpg.rf.8a66ab7d6d78b08aaf321f5de2fd5bfd.jpg,"[[461.0, 695.0, 92, 236]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/120026_jpg.rf.0fb8869bc5eed41859ce7f50c6d6e9c0.jpg,"[[513.5, 837.0, 47, 164], [570.5, 814.0, 47, 94], [692.5, 831.5, 33, 135], [735.5, 854.5, 55, 115], [1253.0, 579.5, 54, 165]]","[1, 1, 1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/230040_jpg.rf.c2ed1d3eafee151ff6913d0da83bf7cb.jpg,"[[103.0, 395.0, 118, 330]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/081406_jpg.rf.d20f29ce0188636149d7fe7194e359fd.jpg,"[[1057.5, 919.5, 113, 209]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/101021_jpg.rf.29fff7b7ea9cbee74e05c7238d7f9e2a.jpg,"[[416.5, 456.5, 91, 235], [932.0, 253.5, 58, 215], [984.5, 287.0, 71, 212]]","[1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/190340_jpg.rf.e31b2ce35dd623fc5f79dd526dbbeaec.jpg,"[[267.0, 596.5, 100, 245], [1094.5, 427.5, 81, 233], [1112.0, 239.0, 112, 220]]","[1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/100845_jpg.rf.0ac7e8c94eb7b316ada9837ed1ccba11.jpg,"[[458.0, 367.5, 82, 241]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/190269_jpg.rf.a0aafd7ca38f914e5fdc7fa8a3d755c9.jpg,"[[1211.5, 536.0, 135, 244], [914.0, 140.0, 126, 228], [756.0, 130.5, 116, 147]]","[1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/100629_jpg.rf.e5d923272aa4da8dd57e28f90c146b26.jpg,"[[749.5, 785.0, 97, 220], [626.5, 737.0, 93, 210], [497.0, 422.0, 58, 224], [452.0, 427.0, 78, 226], [184.0, 467.0, 108, 260], [296.0, 468.0, 60, 238]]","[1, 1, 1, 1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/050351_jpg.rf.c6f36cb0dae4a88d5013ccde54d43938.jpg,"[[438.5, 454.5, 169, 223], [261.0, 125.5, 94, 229], [938.5, 419.0, 91, 220], [1000.0, 409.0, 58, 154]]","[1, 1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/220139_jpg.rf.22427f8702576ebd428364db9d1427d1.jpg,"[[1207.5, 577.5, 145, 321]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/070329_jpg.rf.923e826c1867890cd9a4fb1636834be8.jpg,"[[335.5, 617.5, 115, 243], [874.5, 171.5, 71, 159]]","[1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/120145_jpg.rf.8420d164d8087d9033e6e904f3048010.jpg,"[[804.0, 814.0, 64, 200], [875.0, 804.0, 74, 214], [992.0, 766.0, 54, 160], [983.5, 673.5, 33, 59], [1077.0, 720.5, 66, 123]]","[1, 1, 1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/object_detect/imgs/180295_jpg.rf.5ba6c49ab276b8daca345a62e0b68581.jpg,"[[841.5, 274.0, 79, 216], [168.5, 199.0, 95, 246]]","[1, 1]"
